Path,Filename,Extension,SizeBytes,Created,Modified,Title,Discipline,Project,ResearchArea,DocumentType,CanonicalOrDerived,Status,AuthorityScore,ImportanceScore,ConfidenceScore,RelatedDocuments,SuggestedLocation,RecommendedAction,Rationale
input-documents/AI-Engineering-Handbook-Part-01-Foundations.md,AI-Engineering-Handbook-Part-01-Foundations.md,md,4483,2026-07-20,2026-07-20,Part 1 --- Foundations,AI Engineering,AI Engineering Course,Foundations,handbook-part,canonical,draft,0.84,0.93,0.88,"Part 2; Part 3; Part 4; Part 5; Course-Constitution","content/disciplines/ai-engineering/handbook/foundations.md",Move and rename,"Foundational canonical content; should anchor the handbook sequence and concept pages."
input-documents/AI-Engineering-Handbook-Part-02-Agent-Architecture.md,AI-Engineering-Handbook-Part-02-Agent-Architecture.md,md,3088,2026-07-20,2026-07-20,Part 2 --- Agent Architecture and Coordination,AI Engineering,AI Engineering Course,Agent Architecture,handbook-part,canonical,draft,0.83,0.89,0.87,"Part 1; Part 3; Part 4; Research-Package-001","content/disciplines/ai-engineering/handbook/agent-architecture-and-coordination.md",Move and rename,"Canonical conceptual content with strong dependency on handbook sequence."
input-documents/AI-Engineering-Handbook-Part-03-Engineering-Workflows.md,AI-Engineering-Handbook-Part-03-Engineering-Workflows.md,md,3606,2026-07-20,2026-07-20,Part 3 --- Engineering Workflows,AI Engineering,AI Engineering Course,Engineering Workflows,handbook-part,canonical,draft,0.83,0.88,0.87,"Part 1; Part 2; Part 5; Lesson","content/disciplines/ai-engineering/handbook/engineering-workflows.md",Move and rename,"Canonical workflow guidance; should cross-link to task contracts, registries, and architecture pages."
input-documents/AI-Engineering-Handbook-Part-04-Research-Engineering.md,AI-Engineering-Handbook-Part-04-Research-Engineering.md,md,3799,2026-07-20,2026-07-20,Part 4 --- Research Engineering,AI Engineering,AI Engineering Course,Research Engineering,handbook-part,canonical,draft,0.85,0.91,0.89,"Part 1; Research-Package-001; Research","content/disciplines/ai-engineering/handbook/research-engineering.md",Move and rename,"Canonical method page for evidence, hypotheses, and research operations."
input-documents/AI-Engineering-Handbook-Part-05-Token-Economics-and-Context-Engineering.md,AI-Engineering-Handbook-Part-05-Token-Economics-and-Context-Engineering.md,md,4675,2026-07-20,2026-07-20,Part 5 --- Token Economics and Context Engineering,AI Engineering,AI Engineering Course,Context Engineering,handbook-part,canonical,draft,0.86,0.94,0.90,"Part 1; Part 3; Lesson; CheatSheet","content/disciplines/ai-engineering/handbook/token-economics-and-context-engineering.md",Move and rename,"High-value canonical content and likely future hub page."
input-documents/Chapter 1/CheatSheet.md,CheatSheet.md,md,393,2026-07-20,2026-07-20,Lesson 1 Cheat Sheet,AI Engineering,AI Engineering Course,Courseware,cheat-sheet,derived,draft,0.58,0.63,0.82,"Lesson; Workbook; Part 5","content/projects/ai-engineering-course/chapter-01/derived/lesson-01-cheat-sheet.md",Move,"Derived learning aid; should reference canonical lesson and concept pages rather than repeat definitions."
input-documents/Chapter 1/Chapter-01-Why-AI-Engineering-Is-Different.zip,Chapter-01-Why-AI-Engineering-Is-Different.zip,zip,16739,2026-07-20,2026-07-20,Chapter-01-Why-AI-Engineering-Is-Different,AI Engineering,AI Engineering Course,Courseware,packaged-archive,derived,draft,0.51,0.74,0.80,"Lesson; Research; Course-Roadmap","content/archive/packages/ai-engineering-course/chapter-01-why-ai-engineering-is-different.zip",Archive,"Derived publication package; preserve but do not treat as canonical knowledge."
input-documents/Chapter 1/Course-Constitution.md,Course-Constitution.md,md,1381,2026-07-20,2026-07-20,AI Engineering Course Constitution,AI Engineering,AI Engineering Course,Governance,governance,canonical,draft,0.81,0.87,0.88,"Part 1; Part 4; Course-Roadmap","content/projects/ai-engineering-course/governance/course-constitution.md",Move and rename,"Project governance artifact with durable review and evidence labels."
input-documents/Chapter 1/Course-Roadmap.md,Course-Roadmap.md,md,387,2026-07-20,2026-07-20,Course Roadmap,AI Engineering,AI Engineering Course,Planning,roadmap,canonical,draft,0.61,0.68,0.79,"Course-Constitution; Lesson; Lesson 2","content/projects/ai-engineering-course/roadmaps/course-roadmap.md",Move and enrich metadata,"Useful planning stub, but too thin to stand alone without status, sequence, and links."
input-documents/Chapter 1/Lesson 2.md,Lesson 2.md,md,741,2026-07-20,2026-07-20,Lesson 1 (Working Draft),AI Engineering,AI Engineering Course,Courseware,lesson-draft,derived,conflicting,0.40,0.56,0.73,"Lesson; Course-Roadmap","content/projects/ai-engineering-course/chapter-01/drafts/lesson-02-or-rename-needed.md",Rename or merge,"Filename and internal title conflict; appears to be either a mislabeled second lesson or an alternate draft of Lesson 1."
